Step,DEATH,DISABLED,HPI,MC,PRO,RO,VDF
Year 0,0,0,425,0,0,0,0
Year 1,3,0,419,1,0,0,2
Year 2,6,0,414,1,0,2,2
Year 3,9,0,409,1,2,2,2
Year 4,12,0,406,1,2,2,2
Year 5,15,0,403,1,2,2,2
Year 6,18,0,400,1,2,2,2
Year 7,21,0,397,1,2,2,2
Year 8,24,0,394,1,2,2,2
Year 9,27,0,391,1,2,2,2
Year 10,30,0,388,1,2,2,2
Year 11,33,0,385,1,2,2,2
Year 12,36,0,382,1,2,2,2
Year 13,39,0,379,1,2,2,2
Year 14,42,0,376,1,2,2,2
Year 15,45,0,373,1,2,2,2
Year 16,48,0,370,1,2,2,2
Year 17,51,0,367,1,2,2,2
Year 18,54,0,364,1,2,2,2
Year 19,57,0,361,1,2,2,2
Year 20,60,0,358,1,2,2,2
Year 21,63,0,355,1,2,2,2
Year 22,66,0,352,1,2,2,2
Year 23,69,0,349,1,2,2,2
Year 24,72,0,346,1,2,2,2
Year 25,75,0,343,1,2,2,2
Year 26,78,0,340,1,2,2,2
Year 27,81,0,337,1,2,2,2
Year 28,84,0,334,1,2,2,2
Year 29,87,0,331,1,2,2,2
Year 30,90,0,328,1,2,2,2
Year 31,93,0,325,1,2,2,2
Year 32,96,0,322,1,2,2,2
Year 33,99,0,319,1,2,2,2
Year 34,102,0,316,1,2,2,2
Year 35,105,0,313,1,2,2,2
Year 36,108,0,310,1,2,2,2
Year 37,110,0,308,1,2,2,2
Year 38,112,0,306,1,2,2,2
Year 39,114,0,304,1,2,2,2
Year 40,116,0,302,1,2,2,2
Year 41,118,0,300,1,2,2,2
Year 42,120,0,298,1,2,2,2
Year 43,122,0,297,1,2,2,1
Year 44,124,0,296,1,2,1,1
Year 45,126,0,295,1,1,1,1
Year 46,128,0,293,1,1,1,1
Year 47,130,0,291,1,1,1,1
Year 48,132,0,289,1,1,1,1
Year 49,134,0,287,1,1,1,1
Year 50,136,0,285,1,1,1,1
Year 51,138,0,283,1,1,1,1
Year 52,140,0,281,1,1,1,1
Year 53,142,0,279,1,1,1,1
Year 54,144,0,277,1,1,1,1
Year 55,146,0,275,1,1,1,1
Year 56,148,0,273,1,1,1,1
Year 57,150,0,271,1,1,1,1
Year 58,152,0,269,1,1,1,1
Year 59,154,0,267,1,1,1,1
Year 60,156,0,265,1,1,1,1
Year 61,158,0,263,1,1,1,1
Year 62,160,0,261,1,1,1,1
Year 63,162,0,259,1,1,1,1
Year 64,164,0,257,1,1,1,1
Year 65,166,0,255,1,1,1,1
Year 66,168,0,253,1,1,1,1
Year 67,170,0,251,1,1,1,1
Year 68,172,0,249,1,1,1,1
Year 69,174,0,248,0,1,1,1
Year 70,176,0,246,0,1,1,1
